frame,f1 flow,f2 flow
1,24.99,23.31
2,24.924444444444447,23.31
3,24.92,23.34
4,24.92,23.34
5,24.94,23.31
6,24.85,23.328888888888887
7,24.82,23.279473684210526
8,24.85,23.216315789473686
9,24.857,23.28111111111111
10,24.86,23.29
11,24.9,23.32333333333333
12,24.945454545454545,23.321
13,24.95,23.32
14,24.09,23.35
15,25.02,23.35
16,25.026206896551724,23.35
17,25.00896551724138,23.47
18,24.991724137931033,23.49
19,24.99,23.43
20,24.985454545454544,23.39
21,24.98090909090909,23.31888888888889
22,25.009473684210526,23.31
23,25.046315789473685,23.29
24,25.05,23.29
25,25.05,23.25
26,25.00909090909091,23.19
27,24.96818181818182,23.17
28,24.942222222222224,23.15
29,24.94,23.21842105263158
30,24.95818181818182,23.25
31,24.96,23.21
32,24.94076923076923,23.21
33,24.979230769230767,23.21
34,25.017692307692307,23.3
35,25.056153846153844,23.35
36,25.06,23.32
37,25.00761904761905,23.33
38,24.955238095238094,23.25
39,24.94111111111111,23.25
40,24.93,23.304545454545455
41,24.90843137254902,23.31
42,24.88686274509804,23.35
43,24.86529411764706,23.32
44,24.84372549019608,23.31
45,24.8221568627451,23.31
46,24.82,23.33
47,24.974545454545453,23.32
48,24.988235294117647,23.354444444444443
49,24.98627450980392,23.05
50,24.984313725490196,23.25
51,24.98235294117647,23.24
52,24.980392156862745,23.25
53,24.09,23.31
54,24.862727272727273,23.34
55,24.94,23.34
56,24.93,23.34
57,24.89,23.35
58,24.89,23.33
59,24.87095238095238,23.34
60,24.851904761904763,23.34
61,24.85,23.34
62,24.92,23.34
63,24.92,23.35
64,24.92,23.35
65,24.891428571428573,23.39
66,24.86285714285714,23.352
67,24.86,23.35
68,24.88,23.35
69,24.849999999999998,23.33
70,24.84,23.29
71,24.84909090909091,23.29
72,24.85,23.29
73,24.954,23.21727272727273
74,24.96,23.21
75,24.92,23.3
76,24.92241379310345,23.29
77,24.887931034482758,23.35
78,24.85344827586207,23.39
79,24.85,23.435454545454547
80,24.86,23.44
81,24.826,23.41
82,24.821,23.35666666666667
83,24.82,23.35
84,24.82,23.36
85,24.846363636363638,23.36
86,24.85,23.32
87,24.88,23.32
88,24.85,23.27
89,24.85,23.31
90,24.913636363636364,23.34
91,24.92,23.39
92,24.92,23.4
93,24.94,23.35
94,24.94,23.39
95,24.94,23.34
96,24.94,23.34
97,24.94,23.33
98,24.96,23.3
99,24.95,23.32
100,24.92,23.31
101,24.905714285714286,23.34
102,24.891428571428573,23.33888888888889
103,24.926,23.34
104,24.906923076923075,23.31
105,24.88128205128205,23.3
106,24.855641025641024,23.32
107,24.83,23.31
108,24.85,23.29888888888889
109,24.64,23.3
110,24.85,23.31
111,24.89,23.3
112,24.875714285714285,23.31
113,24.861428571428572,23.33
114,24.86,23.34
115,24.85,23.35
116,24.84,23.35
117,24.906666666666666,23.35
118,24.92,23.34090909090909
119,24.905714285714286,23.34
120,24.891428571428573,23.34
121,24.88,23.31111111111111
122,24.95,23.31
123,24.95909090909091,23.25
124,24.954666666666668,23.25
125,24.948,23.23
126,24.941333333333336,23.25
127,24.94,23.25
128,24.92,23.29
129,24.92,23.302
130,24.92,23.31
131,24.97421052631579,23.31
132,24.99,23.25
133,25.044545454545457,23.33
134,25.05,23.35
135,25.037777777777777,23.3725
136,25.04,23.397499999999997
137,25.02125,23.4
138,25.0025,23.34
139,24.98375,23.31
140,24.98,23.31
141,24.95,23.23
142,24.895454545454545,23.26
143,24.89,23.29
144,24.84,23.23
145,24.76,23.25
146,24.78857142857143,23.29
147,24.81714285714286,23.34
148,24.838,23.343225806451613
149,24.858,23.346451612903227
150,24.86,23.34967741935484
151,24.878947368421056,23.36
152,24.95263157894737,23.396363636363635
153,24.96,23.4
154,24.96,23.29222222222222
155,24.958039215686274,23.234
156,24.95607843137255,23.23
157,24.954117647058823,23.32
158,24.9521568627451,23.34
159,24.95019607843137,23.31
160,24.95,23.3
161,24.9675,23.29
162,24.985,23.31
163,25.002499999999998,23.42
164,25.02,23.42
165,25.04,23.34
166,25.06,23.34
167,25.08,23.35
168,25.05,23.34
169,25.09,23.314999999999998
170,25.02809523809524,23.37
171,24.966190476190476,23.35
172,24.96,23.33
173,24.95090909090909,23.39
174,24.95,23.353636363636365
175,24.89,23.35
176,24.93263157894737,23.32
177,24.948421052631577,23.25
178,24.95,23.31
179,24.95,23.29
180,24.935714285714287,23.33
181,24.921428571428574,23.257272727272728
182,24.92,23.25
183,24.94,23.25
184,24.94,23.34
185,24.92,23.346451612903227
186,24.9,23.35290322580645
187,24.88,23.359354838709677
188,24.95,23.36
189,24.895454545454545,23.31
190,24.917,23.33105263157895
191,24.955555555555556,23.31
192,24.96,23.337272727272726
193,24.96,23.34
194,24.95047619047619,23.32
195,24.940952380952382,23.35
196,24.94,23.398888888888887
197,24.944761904761904,23.4
198,24.949523809523807,23.42
199,24.95,23.44
200,24.95,23.41111111111111
201,24.96,23.41
202,24.987272727272725,23.35
203,24.99,23.35
204,24.99,23.35
205,24.99,23.34
206,24.99,23.32
207,24.99,23.3
208,24.99,23.3
209,24.9,23.29
210,24.94,23.33
211,24.94,23.3
212,24.965,23.325999999999997
213,24.99,23.33
214,25.035454545454545,23.34
215,25.04,23.39
216,25.03,23.39
217,24.99,23.42
218,25.017272727272726,23.42
219,24.995172413793103,23.492727272727272
220,24.964137931034482,23.5
221,24.933103448275862,23.49
222,24.9156,23.49
223,24.8996,23.49
224,24.8836,23.41
225,24.8676,23.52
226,24.8516,23.41
227,24.85,23.45
228,24.85,23.43
229,24.89193548387097,23.325
230,24.933870967741935,23.32
231,24.975806451612904,23.278333333333332
232,24.989473684210527,23.27
233,25.0,23.21
234,25.01,23.3
235,25.02,23.27
236,24.994999999999997,23.26
237,24.9,23.25
238,24.929032258064513,23.27
239,24.95806451612903,23.27
240,24.987096774193546,23.25
241,24.99,23.25
242,24.97153846153846,23.24
243,24.948461538461537,23.32
244,24.925384615384615,23.39
245,24.90230769230769,23.42
246,24.98,23.45
247,25.02,23.43
248,25.010624999999997,23.45
249,25.00125,23.43
250,24.991874999999997,23.299999999999997
251,24.99,23.29
252,24.99,23.23
253,24.99,23.25
254,24.963333333333335,23.21
255,24.985263157894735,23.28272727272727
256,25.016842105263155,23.29
257,24.993333333333332,23.33
258,24.99,23.32333333333333
259,24.98,23.33
260,24.934838709677418,23.34
261,24.88967741935484,23.21
262,24.844516129032257,23.21
263,24.768888888888892,23.21
264,24.76,23.21
265,24.814545454545453,23.21
266,24.82,23.21
267,24.85333333333333,23.21
268,24.86,23.21
269,24.885,23.21
270,24.89,23.21
271,24.98,23.21
272,24.95,23.21
273,24.91,23.21
274,24.85,23.21
275,24.85909090909091,23.21
276,24.86,23.21
277,24.851111111111113,23.21
278,24.85,23.21
279,24.846774193548388,23.21
280,24.843548387096774,23.21
281,24.84032258064516,23.21
282,24.84,23.21
283,24.85,23.21
284,24.93777777777778,23.21
285,24.04,23.21
286,24.91,23.21
287,24.98,23.21
288,24.99904761904762,23.21
289,25.01809523809524,23.21
290,25.02,23.21
291,24.94727272727273,23.21
292,24.94,23.21
293,24.9355,23.21
294,24.9305,23.21
295,24.939,23.21
296,24.961052631578948,23.21
297,24.98736842105263,23.21
298,24.99,23.21
299,24.9,23.21
300,24.9,23.21
